join_key,experiment,experiment_date,model.loss,model.model_architecture,model.pos_weight,model.alpha,model.lr,dataloader.batch_size,training.max_epochs,threshold,TN,FP,FN,TP,precision,recall,TPR,FPR,f1score,accuracy,prevalence,fp_per_mneg,metrics_path,config_path
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.56,89100474,362122,28112,162540,0.309799462556839,0.8525481224060059,0.8525481224060059,0.004047747701406479,0.45445777759096995,0.995647296570895,0.0021265487224735014,4047.7475077964427,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.55,89096104,366492,27584,163068,0.307931125164032,0.8553175330162048,0.8553175330162048,0.004096595104783773,0.4528333447230943,0.9956044425741274,0.0021265487224735014,4096.594737760572,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.54,89091803,370793,27094,163558,0.3060871958732605,0.8578876852989197,0.8578876852989197,0.004144670907407999,0.4511926162923876,0.9955619343540125,0.0021265487224735014,4144.670695672637,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.53,89087455,375141,26625,164027,0.30422243475914,0.8603476285934448,0.8603476285934448,0.004193271975964308,0.4494998773306208,0.9955186676560787,0.0021265487224735014,4193.27201280857,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.52,89083075,379521,26094,164558,0.30245241522789,0.8631328344345093,0.8631328344345093,0.004242231138050556,0.4479408271730007,0.995475735580712,0.0021265487224735014,4242.231021330971,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.51,89078615,383981,25601,165051,0.30062180757522583,0.8657186627388,0.8657186627388,0.0042920843698084354,0.4462743356132957,0.9954314873232479,0.0021265487224735014,4292.084258319534,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.5,89074152,388444,25118,165534,0.2988097071647644,0.8682520985603333,0.8682520985603333,0.004341971129179001,0.4446073961863801,0.9953870940626713,0.0021265487224735014,4341.971028875577,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.49,89069819,392777,24652,166000,0.29707735776901245,0.8706963658332825,0.8706963658332825,0.004390405025333166,0.44300393227365586,0.9953439612137643,0.0021265487224735014,4390.404678174105,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.48000000000000004,89065394,397202,24192,166460,0.2953188121318817,0.8731091022491455,0.8731091022491455,0.004439867101609707,0.4413546437297239,0.9952997352644714,0.0021265487224735014,4439.866690208722,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.47000000000000003,89060953,401643,23707,166945,0.2936133146286011,0.8756530284881592,0.8756530284881592,0.0044895075261592865,0.4397687313459385,0.9952556097019486,0.0021265487224735014,4489.5075479365705,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.46,89056517,406079,23256,167396,0.29189765453338623,0.8780186176300049,0.8780186176300049,0.0045390925370156765,0.43813661066345216,0.9952111606709442,0.0021265487224735014,4539.0925163852835,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.45,89052045,410551,22802,167850,0.29019659757614136,0.8803998827934265,0.8803998827934265,0.0045890798792243,0.43651088103805985,0.9951663435551158,0.0021265487224735014,4589.07988764377,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
